Speaker,Teacher (T) or Child (C) Script (S),Utterance/Idea Units,Code,BackgroundKnowledge Explanation
33301,T,"Dani, is there a problem in your community that you would like to help decrease?",X,"Step 1:#### This utterance does not directly meet the criteria for the Building Knowledge code because it does not explicitly provide or request background information or facts, nor does it reference factual information beyond what is in the text. It is a prompt for personal reflection or opinion rather than a discussion aimed at building background knowledge about specific facts or information.
Step 2:"
33301,T,So that's a problem in your community that you would like to help decrease?,X,"Step 1:#### This utterance does not contain keywords such as ""What do you know about…"" nor does it explicitly request or provide background information or facts beyond what is in the text. It instead seems to be prompting an individual to discuss personal opinions or ideas about issues within their community, which does not align with the criteria for building background knowledge as outlined in the coding manual.
Step 2:"
444001,C,We should place signs in the water because I always see signs in water.,X,"Step 1:#### This utterance does not meet the Building Knowledge criteria as it does not provide or request background information or facts beyond what is in the text. It appears to be a personal judgment or suggestion rather than discussing factual information or building background knowledge in a scientific, historic, or other objective manner. The utterance lacks any reference to factual information beyond the explicit statement and does not incorporate the key phrase or any elements as outlined in the code notes.
Step 2:"
444001,C,XXX thousand birds from being her from some other place in the world was and that there were they left them all go in the truck and it was it was so beautiful.,X,"Step 1:#### The utterance does not explicitly contain the key phrase ""What do you know about…?"" but it implies a sharing of background information about birds being transported, possibly for conservation or relocation purposes. The reference to ""from some other place in the world"" suggests imparting background knowledge about the birds' origin which goes beyond the immediate context. However, the information provided is more narrative or experiential rather than the building of objective background knowledge as defined by the code. It lacks clarity on scientific, historic, or objective facts beyond a basic narration of events, which does not strongly align with the criteria for applying the 'Building Knowledge' code. 
Step 2:"
33308,T,How we how will an animal feel when released into the wild after being strapped.,X,"Step 1:#### This utterance does not directly include key phrases such as ""What do you know about…?"" nor does it explicitly aim at providing or requesting background information or facts beyond that in the text. The focus here is on predicting the emotional response of an animal being released into the wild after being trapped, which does not align with the criteria of building knowledge through objective, factual information. It revolves around speculation on feelings rather than discussing scientific, historic, or other objective facts to build background knowledge.
Step 2:"
33308,T,What if you wash them maybe by hand.,X,"Step 1:#### This utterance does not contain any keywords related to the ""Building Knowledge"" code, nor does it provide or request background information or facts beyond what is in text. It seems to be a suggestion for a method of action rather than a discussion aimed at building background knowledge on a topic. The utterance does not reference scientific, historic, or other objective facts and does not contribute to building knowledge in the context given by the coding manual.
Step 2:"
33308,T,Would that help?,X,"Step 1:#### This utterance does not specifically involve providing or requesting background information or facts beyond what is in the text. It does not reference scientific, historic, or other objective facts, nor does it discuss dialect/translations or present general factual talk to build background knowledge as outlined in the coding manual. The utterance, ""Would that help?"", lacks sufficient context or content to meet the criteria under Building Knowledge code.
Step 2:"
444001,C,"They will be surprised, happy even they might run off.",X,"Step 1:#### The utterance does not include any keywords or phrases associated with building knowledge, such as requesting or providing background information, facts beyond the text, or references to scientific, historic, or other objective facts. It appears to be a prediction of emotional or behavioral reactions rather than an effort to build background knowledge. Therefore, it does not meet the criteria for the Building Knowledge code as defined in the coding manual. 
Step 2:"
33304,T,"Dani, what can you do to prevent your clothes from shrinking when you wash them?",X,"Step 1:#### This utterance requests factual, practical knowledge about laundry care, specifically how to prevent clothes from shrinking. It implies a need for background information or facts on fabric care, which aligns with seeking or providing information that goes beyond what is stated in the text. This can be linked to the Building Knowledge code as it involves imparting practical knowledge, although not strictly scientific, historic, or related to another objective fact as suggested by the examples in the coding manual. Despite this, it still seeks factual information that contributes to understanding a broader context, in this case, best practices in laundry care to prevent shrinking clothes.
Step 2:"
33304,T,"So, what can you do to prevent your clothes from shrinking when you wash them?",1,"Step 1:#### This utterance prompts the listener to provide background information or facts related to the care of clothes, specifically how to prevent them from shrinking, which involves sharing knowledge not explicitly stated in the text. It fits the criteria as it is requesting factual information about a specific process, which goes beyond what is explicitly stated and builds background knowledge on the topic. 
Step 2:"
