Speaker,Teacher (T) or Child (C) Script (S),Utterance/Idea Units,Code,Feelings_Emotions Explanation
33308,T,It makes you feel relaxed?,1,"Step 1:#### The utterance explicitly mentions the keyword ""feel relaxed,"" directly indicating an emotional state, matching the criteria within the coding manual for the Feelings/Emotions code. The manual emphasizes coding for instances where emotional states are named or described, which is exactly the case in this utterance.
Step 2:"
33308,T,What do you think the animals will feel free and confused when they're released?,1,"Step 1:#### This utterance meets the criteria for the Feelings/Emotions code as it directly mentions potential emotional states (feel free and confused) that animals might experience upon being released. By discussing the possibility of the animals feeling ""free"" and ""confused,"" it clearly engages with naming or describing emotional or affective states, as outlined in the coding manual. The presence of explicit keywords related to emotions (""feel free"" and ""confused"") matches the manual's guidelines for coding utterances under the Feelings/Emotions category. The utterance involves inference about the animals' emotional states, which according to the code notes, is a valid basis for marking this code regardless of whether the emotional state is explicitly stated or inferred.
Step 2:"
33301,T,"Dani, how do you think a lion would feel when it is captured from the wild?",1,"Step 1:#### This utterance prompts Dani to speculate on the emotional state of a lion when it is captured from the wild. The keywords and code notes from the coding manual direct us to identify and code instances where emotions are either named, described, or inferred regarding oneself, others, or characters. In this case, the utterance clearly aims to elicit a description or naming of the emotional state (likely to be fear, sadness, anger, etc.) of a lion in a specific scenario, which aligns with the criteria for the Feelings/Emotions code. 
Step 2:"
33301,T,It would be able to see its family.,1,"Step 1:#### This utterance indirectly refers to feelings of possibly happiness, contentment, or relief, as implied by the context of being able to see one's family, which generally elicits positive emotions. The sentence implies an emotional state linked with the reunion or connection with family, fitting within the criteria of describing emotional or affective states of characters or individuals. The code notes mention that this code is marked regardless of whether the emotional state was inferred or explicitly stated, allowing for the inclusion of this inferred emotional state.
Step 2:"
444023:,C,"Like there's be, uhm, you'll be uncomfortable cause fish. ",1,"Step 1:#### This utterance does not directly mention any emotions or feelings as defined by the coding manual. However, ""uncomfortable"" could be considered an emotional state, falling broadly under the keywords related to feelings or vague emotional states. The mention of feeling ""uncomfortable"" implies a form of emotional or affective state, aligning with the code note that states the code is marked regardless of whether the emotional state was inferred or whether it was explicitly stated. The reference to feeling uncomfortable implies a negative emotion, although not explicitly listed like other basic or complex emotions, it fits within the scope of emotions the code aims to capture. 
Step 2:"
33301,T,Yeah.,X,"Step 1:#### The utterance lacks any keywords related to feelings or emotions as outlined in the coding manual. There is no indication of describing any emotional or affective states, nor is there an implication of emotion through mental state language. The utterance is simply an affirmative response without any explicit or implied reference to feelings or emotions.
Step 2:"
33301,T,And then how did you feel when you got blamed?,1,"Step 1:#### This utterance prompts the discussion of feelings/emotions related to being blamed, directly asking about the emotional state following a specific event. The use of the word ""feel"" aligns with the keywords specified in the coding manual for the Feelings/Emotions category. It explicitly requires the respondent to name or describe their emotional or affective state, which meets the criteria for identifying feelings or emotions, whether the emotional state is inferred or explicitly stated. 
Step 2:"
33304:,T,"Happy, right? ",1,"Step 1:#### This utterance directly uses the keyword ""happy"" from the coding manual. The usage of the word ""happy"" clearly indicates the expression of an emotional state, in this case, happiness, which aligns perfectly with the given code definition of capturing feelings/emotions such as happy. Since it names an emotional state directly, it meets the criteria for the Feelings/Emotions code.
Step 2:"
33308,T,How we how will an animal feel when released into the wild after being strapped.,1,"Step 1:#### The utterance prompts consideration of an animal's feelings upon being released into the wild after experiencing restraint, which implies an exploration of emotional or affective states. The reference to how an animal will ""feel"" directly cues the requirement for the Feeling/Emotions code. It suggests a transition from a negative experience (being strapped) to potentially experiencing freedom or relief, thus engaging with emotions such as fear, anxiety, or relief, even though specific emotions are not named explicitly. The coding manual instructs to mark the presence of both inferred and explicitly stated emotional states, guided by mental state language such as ""feel."" Thus, this utterance falls within the ambit of discussing feelings or emotional states, even if hypothetically about an animal, as the coding manual does not limit the consideration of emotions to humans alone.
Step 2:"
33302:,T,"Maybe they're being reunited with their family after the release, and that makes them feel very happy. ",1,"Step 1:#### This utterance explicitly contains a keyword related to feelings/emotions, specifically ""happy"". The utterance describes a scenario where someone feels very happy about being reunited with their family, meeting the criteria for naming or describing emotional or affective states. The emotion of happiness is directly stated in the text, aligning with the code notes that require coding all basic emotions and more intense emotions when they are named or described.
Step 2:"
